branch_code,branch_name,region,branch_opened_year,branch_tier
BXE100,Brindlecore Markbury Branch,Midwest,2023,Tier 2 - Standard
BR1001,Brindlecore Port Sheila Branch,Southeast,2005,Tier 1 - Flagship
BR1002,Brindlecore Thomasside Branch,Southwest,2007,Tier 2 - Standard
BR1003,Brindlecore East Angela Branch,West Coast,2002,Tier 1 - Flagship
BR1004,Brindlecore Port Joshuafort Branch,Northeast,2006,
BR1005,Brindlecore Port Lisa Branch,Southeast,2003,
BR1006,Brindlecore Whitemouth Branch,Midwest,2003,Tier 3 - Satellite
BR1007,Brindlecore North Andreaview Branch,Northeast,2001,Tier 3 - Satellite
BR1008,Brindlecore Harrisborough Branch,Southwest,2015,Tier 2 - Standard
BR1009,Brindlecore North Meganside Branch,Southeast,2005,Tier 1 - Flagship
BR1010,Brindlecore Larsonside Branch,Southeast,2000,
BR1011,Brindlecore North Maryborough Branch,Mountain,2017,Tier 1 - Flagship
BR1012,Brindlecore Melissaville Branch,Mountain,2001,Tier 2 - Standard
BR1013,Brindlecore Wilcoxside Branch,Midwest,2021,Tier 1 - Flagship
BR1014,Brindlecore West Seanside Branch,West Coast,2001,
BXN115,Brindlecore West Sharonton Branch,West Coast,2024,Tier 1 - Flagship
BR1016,Brindlecore Potterhaven Branch,Southwest,2006,Tier 1 - Flagship
BR1017,Brindlecore East Ashley Branch,West Coast,2009,Tier 1 - Flagship
BXW118,Brindlecore Rojasfurt Branch,West Coast,2024,Tier 2 - Standard
BR1019,Brindlecore North Brettton Branch,West Coast,2005,
BR1020,Brindlecore Kathleenchester Branch,Mountain,2010,Tier 2 - Standard
BR1021,Brindlecore West Valerieshire Branch,Southwest,2022,Tier 1 - Flagship
BR1022,Brindlecore Brownfort Branch,Northeast,1999,
BR1023,Brindlecore East Kennethland Branch,Northeast,2018,Tier 3 - Satellite
BR1024,Brindlecore Port Toddstad Branch,Southwest,2022,Tier 1 - Flagship
BR1025,Brindlecore Johnstonton Branch,West Coast,2006,
BR1026,Brindlecore Thomastown Branch,Mountain,1999,
BXN127,Brindlecore East Christophermouth Branch,Southeast,2024,Tier 3 - Satellite
BR1028,Brindlecore Port Peterfort Branch,Northeast,2014,Tier 1 - Flagship
BXW129,Brindlecore Port Derekview Branch,Midwest,2024,
BR1030,Brindlecore Port Mary Branch,Northeast,2016,Tier 1 - Flagship
BXW131,Brindlecore East Edward Branch,Southeast,2023,Tier 1 - Flagship
BR1032,Brindlecore Port Jesushaven Branch,Northeast,2020,Tier 2 - Standard
BR1033,Brindlecore Rasmussenshire Branch,Mountain,2000,
BR1034,Brindlecore Burnsview Branch,Southwest,2001,
BR1035,Brindlecore South Christyport Branch,Southeast,2001,Tier 2 - Standard
BR1036,Brindlecore Keithborough Branch,Southeast,2006,Tier 1 - Flagship
BR1037,Brindlecore New Tomton Branch,Southeast,2003,Tier 2 - Standard
BR1038,Brindlecore Lake Donaldland Branch,Northeast,1998,Tier 2 - Standard
BR1039,Brindlecore New Jamesland Branch,West Coast,2019,
